imdb_id,budget,revenue
tt0389328,0,2850927
tt0438859,0,6317170
tt0382222,0,0
tt0104115,0,0
tt0042727,0,5995
tt0087225,0,0
tt0060424,0,0
tt0090830,0,31853080
tt0385267,0,61315215
tt0050271,0,0
tt0762110,0,10610835
tt0328802,0,1266063
tt0051429,0,446
tt0044357,0,0
tt0058997,0,0
tt0073637,0,0
tt0120257,0,397020
tt0384814,0,2460057
tt0030287,0,1433
tt0951318,0,1582036
tt0048918,0,0
tt1077258,0,11446172
tt0051406,0,1732
tt0113448,0,218626
tt0116635,0,195170
tt0103108,0,0
tt0078812,0,0
tt0103617,0,2517600
tt0118040,0,2821671
tt0107927,0,6484246
tt0943512,0,373727
tt0118556,0,34673095
tt0112763,0,0
tt0089841,0,26657534
tt0190938,0,0
tt0007264,0,0
tt0007162,0,0
tt0006548,0,0
tt0188453,0,16171098
tt0109890,0,30057974
tt0211407,0,0
tt0286493,0,97080
tt0418329,0,0
tt0058534,0,0
tt0167116,0,0
tt0156146,0,0
tt0380368,0,0
tt0100649,0,0
tt0059282,0,0
tt0102250,0,28862081
tt0093415,0,10489617
tt0103239,0,0
tt0119320,0,0
tt0200954,0,0
tt0072791,0,0
tt0240628,0,0
tt0115832,0,25845
tt0130700,0,0
tt0365478,0,0
tt0811136,0,0
tt0077474,0,1091
tt0099364,0,0
tt0330203,0,0
tt0120013,0,0
tt0472582,0,446125
tt0245724,0,0
tt0433263,0,0
tt2296759,0,0
tt0115635,0,0
tt0080391,0,0
tt0418729,0,0
tt0107532,0,0
tt0078503,0,0
tt0267391,0,0
tt0090184,0,14100000
tt0283015,0,0
tt0085980,0,22587834
tt0097938,0,0
tt0036098,0,99248
tt2514600,0,0
tt2979874,0,0
tt0105712,0,0
tt0342172,0,4076990
tt0070902,0,16155
tt0100211,0,6263883
tt0768212,0,27308918
tt0436724,0,4646889
tt0102181,0,1059071
tt0099073,0,15779578
tt0114210,0,345972
tt0099813,0,0
tt0218411,0,0
tt0388441,0,0
tt0203053,0,0
tt0329030,0,12311
tt0432314,0,0
tt0199232,0,0
tt0110044,0,713234
tt0499603,0,1399222
tt0338300,0,0
tt0150500,0,0
tt0602217,0,0
tt0113483,0,0
tt0176007,0,0
tt0358355,0,0
tt0046874,0,0
tt0113063,0,0
tt0037303,0,0
tt0312496,0,0
tt0243907,0,0
tt0062089,0,0
tt0072547,0,0
tt0052738,0,0
tt0345061,0,886018
tt0093476,0,9868521
tt0102598,0,25092802
tt0105165,0,22697691
tt0107611,0,8345845
tt0174771,0,0
tt0168331,0,0
tt0109036,0,0
tt0270621,0,0
tt0110175,0,0
tt0117086,0,0
tt0118933,0,0
tt0274309,0,2802899
tt0239206,0,0
tt0017075,0,83568
tt0028231,0,605
tt0029811,0,401
tt0256524,33000000,18914307
tt0407658,0,0
tt0175405,0,0
tt0352178,0,0
tt0593207,0,0
tt0270980,14000000,18191005
tt0174654,0,0
tt0473080,0,0
tt0411236,0,0
tt2363395,0,0
tt1533792,0,0
tt1236474,0,0
tt0106273,0,0
tt0099040,0,1055995
tt0112362,0,0
tt0324011,0,920
tt0398029,0,0
tt0120594,0,50832
tt0072281,0,0
tt0097910,0,0
tt0001223,0,0
tt0130001,0,0
tt0130004,0,0
tt0118247,0,0
tt0016039,0,0
tt0054038,0,0
tt0104759,0,0
tt0063696,0,0
tt0059680,0,0
tt0070416,0,0
tt0070157,0,0
tt0149698,0,0
tt0059433,0,0
tt0938313,0,0
tt0138581,0,0
tt0191252,0,0
tt0302739,0,0
tt0065361,0,0
tt0126875,0,0
tt0060045,0,8529
tt0057427,0,93688
tt0056907,0,0
tt0058153,0,0
tt0057652,0,0
tt0046031,0,0
tt0011130,0,0
tt0011131,0,0
tt0033553,0,0
tt0062908,0,0
tt0054416,0,0
tt0070002,0,0
tt0084171,0,3792188
tt0075990,0,0
